TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Theft from Vehicle,2005,5,1,11,0,8XX AVISON WAY,Stanley Park,490530.96,5460905.93,49.30082343,-123.1302463
Other Theft,2012,1,13,10,50,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01,49.28245092,-123.1182643
Theft from Vehicle,2005,7,31,17,30,32XX E 27TH AVE,Renfrew-Collingwood,497342.91,5454827.51,49.24621453,-123.0365079
Theft from Vehicle,2004,11,8,16,30,1XX E 6TH AVE,Mount Pleasant,492523.52,5456974.62,49.26548831,-123.1027653
Other Theft,2009,9,10,15,14,62XX VICTORIA DR,Victoria-Fraserview,495214.49,5452736.48,49.22739227,-123.0657269
Theft from Vehicle,2013,5,18,11,0,14XX ANDERSON ST,Fairview,490173.24,5457687.32,49.27186592,-123.1350876
Theft from Vehicle,2013,9,12,20,30,8XX EXPO BLVD,Central Business District,491698.4,5458181.69,49.27633548,-123.1141317
Other Theft,2016,1,10,12,24,7XX BUTE ST,West End,490797.66,5459282.31,49.28622283,-123.1265405
Mischief,2003,1,16,20,0,81XX KNIGHT STREET BRDG,Victoria-Fraserview,494392.38,5450892.02,49.21079389,-123.0769925
Mischief,2004,6,1,18,0,19XX NELSON ST,West End,489781.7,5459776.64,49.29065325,-123.1405235
Theft from Vehicle,2008,8,3,4,47,4XX DUNLEVY AVE,Strathcona,493065.54,5458723.36,49.28122492,-123.0953455
Mischief,2004,1,9,18,15,GRANVILLE ST / W 70TH AVE,Marpole,489763.97,5450647.54,49.20853489,-123.140534
Mischief,2008,1,15,15,0,71XX CLARENDON ST,Victoria-Fraserview,495895.34,5451806.99,49.21903621,-123.0563662
Theft from Vehicle,2005,12,22,15,45,12XX NICOLA ST,West End,489903.79,5458982.71,49.28351377,-123.1388244
Theft from Vehicle,2003,3,21,20,15,29XX W 4TH AVE,Kitsilano,487470.43,5457315.79,49.26847454,-123.1722311
Theft from Vehicle,2004,3,13,19,30,3X W 38TH AVE,Riley Park,492246.95,5453742.28,49.2364093,-123.1065042
Theft from Vehicle,2008,5,26,13,50,74XX FRASER ST,Sunset,493379.07,5451593.29,49.21709189,-123.0909167
Other Theft,2006,3,27,19,17,71XX KERR ST,Killarney,496991.54,5451723.17,49.21828859,-123.0413123
Break and Enter Commercial,2013,6,27,9,45,3XX MAIN ST,Central Business District,492749.08,5458833.16,49.28220892,-123.0996986
Break and Enter Commercial,2014,3,30,17,0,5XX W GEORGIA ST,Central Business District,491502.45,5458777.18,49.28168931,-123.1168383
Theft of Bicycle,2012,1,18,21,30,7XX W 7TH AVE,Fairview,491176.56,5456935.6,49.26511937,-123.1212785
Break and Enter Residential/Other,2013,1,1,0,1,13XX W 15TH AVE,Fairview,490176.97,5456141.32,49.25795944,-123.1349984
Other Theft,2014,10,15,21,24,34XX CAMBIE ST,South Cambie,491614.69,5455781.17,49.25474122,-123.1152323
Theft from Vehicle,2013,5,7,22,15,12XX W 7TH AVE,Fairview,490284.54,5456958.01,49.26530743,-123.1335399
Theft from Vehicle,2012,5,12,23,0,61XX PRINCE ALBERT ST,Sunset,493593.63,5452856.14,49.22845383,-123.0879906
Theft from Vehicle,2010,3,22,19,0,6XX GRANVILLE ST,Central Business District,491520.78,5458971.8,49.2834402,-123.1165904
Break and Enter Residential/Other,2007,2,12,8,30,57XX KILLARNEY ST,Killarney,496659.81,5453212.75,49.23168603,-123.0458801
Theft of Bicycle,2013,7,10,8,45,DUNSMUIR ST / RICHARDS ST,Central Business District,491675.88,5458852.3,49.28236741,-123.1144553
Theft of Bicycle,2009,8,6,11,0,12XX ROBSON ST,West End,490739.48,5459288.8,49.28628033,-123.1273407
Theft from Vehicle,2016,3,25,17,0,DAVIE ST / JERVIS ST,West End,490187.87,5458904.01,49.28281048,-123.1349164
Mischief,2007,2,2,12,0,27XX CAMBRIDGE ST,Hastings-Sunrise,496545.72,5459326.67,49.28668138,-123.0474999
Theft from Vehicle,2011,10,5,16,30,55XX SHERBROOKE ST,Kensington-Cedar Cottage,494087.95,5453467.22,49.23395562,-123.0812102
Theft of Bicycle,2014,5,10,23,50,6XX ABBOTT ST,Central Business District,492175.59,5458454.53,49.27879601,-123.1075766
Theft from Vehicle,2006,6,14,1,0,BALACLAVA ST / W 3RD AVE,Kitsilano,487358.56,5457411.85,49.26933631,-123.1737719
Theft from Vehicle,2006,12,18,22,0,14XX ROBSON ST,West End,490542.75,5459472.14,49.28792648,-123.1300502
Theft from Vehicle,2015,10,27,14,7,23XX W 1ST AVE,Kitsilano,488502.59,5457575.34,49.27082951,-123.1580506
Offence Against a Person,2011,1,30,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2004,10,17,22,0,24XX GRAVELEY ST,Hastings-Sunrise,495889.75,5457513.23,49.2703651,-123.0565015
Theft of Bicycle,2016,11,1,0,0,29XX E 15TH AVE,Renfrew-Collingwood,496808.61,5455946.64,49.2562788,-123.0438579
Theft from Vehicle,2011,12,12,13,50,25XX FRANKLIN ST,Hastings-Sunrise,496039.91,5458809.57,49.28202691,-123.0544502
Mischief,2007,1,7,1,4,11XX GRANVILLE ST,Central Business District,490864.18,5458323.72,49.27760116,-123.1256039
Break and Enter Residential/Other,2006,10,22,10,30,13XX BARCLAY ST,West End,490448.62,5459271.35,49.28611888,-123.1313398
Offence Against a Person,2010,8,7,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2010,1,20,0,0,2XX E GEORGIA ST,Strathcona,492857.97,5458430.52,49.27858839,-123.0981942
Mischief,2015,12,5,20,22,16XX QUEBEC ST,Mount Pleasant,492567.9,5457598.44,49.27110023,-123.1021669
Mischief,2008,10,4,19,50,2XX N TEMPLETON DR,Grandview-Woodland,495664.97,5459356.85,49.28694724,-123.0596115
Mischief,2013,2,4,21,0,24XX CYPRESS ST,Kitsilano,489219.89,5456861.73,49.26442354,-123.148171
Break and Enter Residential/Other,2006,12,10,13,0,24XX TRAFALGAR ST,Kitsilano,488017.19,5456894.56,49.26469647,-123.1647028
Offence Against a Person,2009,7,18,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2008,1,6,18,0,63XX ST CATHERINES ST,Sunset,493700.1,5452688.62,49.22694805,-123.0865256
Break and Enter Residential/Other,2003,1,27,3,30,12XX E PENDER ST,Strathcona,494272.21,5458624.78,49.28035068,-123.0787529
Theft of Bicycle,2015,7,1,16,30,14XX ANDERSON ST,Fairview,490173.24,5457687.32,49.27186592,-123.1350876
Theft from Vehicle,2009,11,18,21,0,7XX W 16TH AVE,Fairview,491140.17,5456039.95,49.25706231,-123.1217589
Theft of Vehicle,2009,10,9,21,0,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.52,5458920.98,49.28298427,-123.1153966
Theft from Vehicle,2007,10,31,10,30,9XX SEYMOUR ST,Central Business District,491239.43,5458541.49,49.27956553,-123.1204496
Other Theft,2014,11,23,12,54,65XX FRASER ST,Sunset,493394.25,5452440.64,49.22471419,-123.0907222
Break and Enter Commercial,2015,11,14,22,0,16XX ARBUTUS ST,Kitsilano,488890.42,5457604.38,49.2710979,-123.1527201
Break and Enter Residential/Other,2008,1,18,14,30,84XX KERR ST,Killarney,496926.72,5450576.72,49.20797563,-123.0421936
Other Theft,2016,5,30,14,58,7XX DUNSMUIR ST,Central Business District,491511.64,5459023.68,49.28390674,-123.1167172
Theft from Vehicle,2012,12,20,19,21,E 2ND AVE / LORNE ST,Mount Pleasant,492747.83,5457318.28,49.2685823,-123.0996883
Theft from Vehicle,2013,1,6,19,45,36XX MONMOUTH AVE,Renfrew-Collingwood,498274.49,5454093.29,49.23961338,-123.023705
Mischief,2011,3,23,23,0,28XX W 37TH AVE,Arbutus Ridge,487643.86,5453981.78,49.23848805,-123.1697443
Break and Enter Commercial,2007,11,24,4,0,26XX W 16TH AVE,Kitsilano,487991.96,5456116.58,49.25769791,-123.1650263
Mischief,2005,6,21,11,27,E 33RD AVE / VICTORIA DR,Kensington-Cedar Cottage,495241.88,5454144.63,49.24005914,-123.0653674
Break and Enter Residential/Other,2005,2,26,16,0,32XX E 21ST AVE,Renfrew-Collingwood,497379.61,5455408.87,49.25144415,-123.0360074
Theft from Vehicle,2007,9,10,22,0,20XX BARCLAY ST,West End,489748.44,5459955.37,49.29226039,-123.1409854
Break and Enter Commercial,2011,5,8,23,0,15XX CHARLES ST,Grandview-Woodland,494737.87,5457807.94,49.27300725,-123.0723397
Offence Against a Person,2003,5,31,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2016,6,6,1,35,1XX E CORDOVA ST,Central Business District,492574.64,5458843.75,49.28230209,-123.1020973
Theft from Vehicle,2014,8,10,13,30,39XX HEATHER ST,South Cambie,491237.25,5455285.77,49.25027971,-123.1204082
Theft of Vehicle,2016,7,22,8,30,5XX N RENFREW ST,Hastings-Sunrise,496801.64,5459667.89,49.2897521,-123.0439835
Other Theft,2009,10,4,15,25,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39,49.26274759,-123.0971192
Mischief,2015,2,19,16,15,14XX W 8TH AVE,Fairview,490028.3,5456861.87,49.26443851,-123.1370595
Theft from Vehicle,2016,4,3,12,0,1XX ROBSON ST,Central Business District,491690.36,5458346.8,49.27782056,-123.1142457
Theft from Vehicle,2007,8,21,16,34,3XX DUNLEVY AVE,Strathcona,493068.6,5458827.1,49.28215812,-123.0953052
Other Theft,2008,3,1,13,19,6XX EXPO BLVD,Central Business District,492080.58,5458435.48,49.27862343,-123.1088825
Break and Enter Commercial,2014,3,14,18,30,11XX HORNBY ST,Central Business District,490761.55,5458491.19,49.27910604,-123.1270188
Theft of Vehicle,2015,3,27,22,0,12XX GARDEN DR,Grandview-Woodland,495789.19,5457818.39,49.27310939,-123.0578871
Theft from Vehicle,2015,12,11,0,0,36XX BLENHEIM ST,Dunbar-Southlands,487002.38,5455757.58,49.25444842,-123.1786143
Theft from Vehicle,2009,2,15,18,15,8XX BURRARD ST,West End,491012.1,5458904.91,49.28283125,-123.1235833
Other Theft,2017,3,23,13,30,7X W BROADWAY AVE,Mount Pleasant,492264.26,5456707.37,49.26308113,-123.1063237
Theft of Vehicle,2005,8,27,10,50,64XX FRASER ST,Sunset,493399.03,5452635.98,49.22647137,-123.0906598
Vehicle Collision or Pedestrian Struck (with Injury),2013,2,9,20,53,E 64TH AVE / MAIN ST,Sunset,492560,5451074,49.21241134,-123.1021543
Vehicle Collision or Pedestrian Struck (with Injury),2014,11,6,23,39,OAK ST / W 41ST AVE,Oakridge,490675,5453464,49.23388418,-123.1280917
Offence Against a Person,2017,2,11,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2003,8,26,2,15,3X DUNLEVY AVE,Strathcona,493068.84,5459151.49,49.28507606,-123.0953075
Mischief,2007,8,29,7,10,7X E CORDOVA ST,Central Business District,492522.27,5458853.46,49.28238879,-123.1028176
Break and Enter Residential/Other,2003,12,27,6,50,37XX W 10TH AVE,West Point Grey,486354.96,5456763.74,49.26348489,-123.1875455
Theft from Vehicle,2005,10,15,21,0,6XX SEYMOUR ST,Central Business District,491578.8,5458898.39,49.28278067,-123.1157911
Offence Against a Person,2003,4,12,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,4,28,12,0,13XX BURNABY ST,West End,490099.94,5458828.13,49.28212651,-123.1361235
Vehicle Collision or Pedestrian Struck (with Injury),2014,7,9,23,15,E 59TH AVE / MAIN ST,Sunset,492575,5451554,49.21672925,-123.1019573
Break and Enter Residential/Other,2009,12,24,14,22,18XX SASAMAT ST,West Point Grey,484811.9,5457582.15,49.27081023,-123.2087851
Offence Against a Person,2016,7,23,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft of Vehicle,2007,12,28,23,0,24XX W 2ND AVE,Kitsilano,488366.83,5457480.41,49.26997303,-123.1599141
Theft from Vehicle,2009,6,5,12,30,E HASTINGS ST / SEMLIN DR,Grandview-Woodland,495371.88,5458717.12,49.28119061,-123.0636344
Theft from Vehicle,2011,11,25,23,30,12XX W GEORGIA ST,Central Business District,490844.36,5459431.34,49.28756407,-123.1259018
Theft from Vehicle,2005,6,30,13,0,ASH ST / W 8TH AVE,Fairview,491453.97,5456830.34,49.26417648,-123.1174633
Theft from Vehicle,2008,12,6,22,45,1XX WATER ST,Central Business District,492203.27,5459031.65,49.28398765,-123.1072072
Mischief,2003,10,27,14,0,33XX W BROADWAY AVE,Kitsilano,487056.78,5456841.12,49.26419619,-123.1779018
Mischief,2006,10,28,17,32,10XX E 59TH AVE,Sunset,493782.62,5451519.64,49.21643362,-123.0853742
Break and Enter Residential/Other,2004,9,25,23,30,2X W 62ND AVE,Marpole,492208.79,5451279.88,49.21425892,-123.1069806
Other Theft,2016,3,4,9,47,10XX HOMER ST,Central Business District,491256.07,5458279.37,49.27720796,-123.120215
Break and Enter Commercial,2006,1,24,3,24,27XX E HASTINGS ST,Hastings-Sunrise,496450.13,5458717.3,49.28119944,-123.048809
Mischief,2004,8,12,16,20,17XX W BROADWAY AVE,Fairview,489431.94,5456775.57,49.26365222,-123.1452541
Break and Enter Commercial,2011,6,15,21,0,6XX GRANVILLE ST,Central Business District,491448.25,5458898.76,49.28278219,-123.1175861
Theft of Vehicle,2005,9,24,2,30,86XX BARNARD ST,Marpole,489431.05,5450637.45,49.20843847,-123.1451045
Theft from Vehicle,2003,6,21,21,0,X NK_LOC ST,,492757.49,5458792.47,49.28184301,-123.0995822
Offence Against a Person,2005,8,11,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2006,2,20,13,30,4XX GORE AVE,Strathcona,492916.48,5458728.39,49.28126846,-123.097395
Break and Enter Residential/Other,2009,12,17,22,0,23XX W BROADWAY AVE,Kitsilano,488458.88,5456811.52,49.263958,-123.1586294
Vehicle Collision or Pedestrian Struck (with Injury),2016,1,15,21,25,BOUNDARY RD / E 29TH AVE,Renfrew-Collingwood,498285,5454628,49.24442326,-123.0235629
Offence Against a Person,2016,7,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2006,6,24,16,30,39XX W 22ND AVE,Dunbar-Southlands,485940.47,5455591.57,49.25293165,-123.1932013
Offence Against a Person,2004,6,25,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2016,6,7,14,59,E 49TH AVE / FRASER ST,Sunset,493395,5452521,49.22543705,-123.0907133
Mischief,2005,3,29,23,30,7XX E BROADWAY AVE,Mount Pleasant,493547.86,5456634.23,49.26243811,-123.0886801
Theft from Vehicle,2003,9,11,12,30,9XX RICHARDS ST,Central Business District,491307.39,5458474.83,49.27896688,-123.1195137
Theft from Vehicle,2007,12,17,22,0,28XX MAIN ST,Mount Pleasant,492655.48,5456384.26,49.26017951,-123.1009406
Theft from Vehicle,2016,5,14,18,0,35XX E 48TH AVE,Killarney,497863.29,5452490.35,49.22519324,-123.0293455
Theft from Vehicle,2007,10,4,19,0,11XX W 13TH AVE,Fairview,490595.91,5456326.71,49.25963364,-123.1292453
Theft from Vehicle,2006,2,6,4,0,25XX KINGSWAY AVE,Renfrew-Collingwood,496007.83,5454174.13,49.24032997,-123.0548451
Break and Enter Residential/Other,2011,1,22,22,0,17XX W 14TH AVE,Fairview,489500.65,5456254.44,49.25896574,-123.144296
Theft from Vehicle,2016,8,11,3,53,82XX ASH ST,Marpole,491245.15,5450846.96,49.21035167,-123.1202028
Mischief,2005,5,22,2,10,9XX GRANVILLE ST,Central Business District,491168.15,5458616.84,49.28024229,-123.1214312
Mischief,2008,6,16,1,0,13XX E BROADWAY AVE,Grandview-Woodland,494473.53,5456631.32,49.26242099,-123.0759574
Theft from Vehicle,2005,8,21,19,30,86XX OAK ST,Marpole,490515.36,5450579.2,49.20793224,-123.1302163
Mischief,2007,2,10,1,21,8XX GRANVILLE ST,Central Business District,491234.66,5458696.73,49.28096187,-123.1205185
Theft from Vehicle,2016,7,25,9,0,8XX GRANVILLE ST,Central Business District,491262.26,5458711.56,49.28109566,-123.1201394
Vehicle Collision or Pedestrian Struck (with Injury),2016,11,13,21,47,W 4TH AVE / BAYSWATER ST,Kitsilano,487554,5457309,49.26841517,-123.1710822
Theft of Bicycle,2009,6,16,19,30,12XX E PENDER ST,Strathcona,494250.58,5458625.51,49.28035704,-123.0790503
Theft of Vehicle,2008,9,12,22,0,86XX HUDSON ST,Marpole,490198.97,5450577.55,49.20791242,-123.1345601
Theft from Vehicle,2014,1,9,23,30,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495333.82,5454661.45,49.24470876,-123.0641104
Theft from Vehicle,2006,10,1,0,0,15XX W 68TH AVE,Marpole,489671.49,5450874.91,49.21057859,-123.1418096
Mischief,2006,11,20,6,0,39XX LILLOOET ST,Renfrew-Collingwood,497158.21,5455139.65,49.24902147,-123.0390478
Theft from Vehicle,2006,1,23,14,0,8XX AVISON WAY,Stanley Park,490530.96,5460905.93,49.30082343,-123.1302463
Theft of Vehicle,2004,12,27,8,0,20XX DUNDAS ST,Grandview-Woodland,495385.18,5459114.5,49.28476521,-123.0634561
Theft from Vehicle,2014,4,21,20,0,22XX E 11TH AVE,Kensington-Cedar Cottage,495681.03,5456407.59,49.26041822,-123.0593588
Mischief,2003,6,8,13,0,49XX VICTORIA DR,Kensington-Cedar Cottage,495236.02,5454075.48,49.23943707,-123.0654471
Offence Against a Person,2009,5,24,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2007,2,28,2,53,44XX W 14TH AVE,West Point Grey,484985.06,5456402.07,49.26019952,-123.2063605
Other Theft,2008,8,13,15,20,17XX E BROADWAY AVE,Kensington-Cedar Cottage,495037.21,5456613.97,49.26226976,-123.0682098
Other Theft,2010,10,13,23,31,7XX THURLOW ST,West End,491046.56,5459221.07,49.28567566,-123.1231165
Theft from Vehicle,2009,10,2,0,0,42XX ST GEORGE ST,Riley Park,493155.81,5454912.97,49.24695076,-123.0940391
Theft of Vehicle,2017,1,14,20,30,32XX E 58TH AVE,Killarney,497337.18,5451603.6,49.21721462,-123.0365652
Theft of Vehicle,2006,5,6,19,30,49XX CONNAUGHT DR,Shaughnessy,489642.46,5454352.96,49.24186397,-123.1422979
Offence Against a Person,2011,11,20,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft of Bicycle,2014,9,19,23,0,49XX GRANVILLE ST,Shaughnessy,489853.91,5454260.2,49.24103312,-123.1393906
Theft from Vehicle,2016,3,11,21,30,5XX RICHARDS ST,Central Business District,491746.54,5458929.79,49.28306541,-123.1134853
Other Theft,2007,12,6,13,55,5XX ABBOTT ST,Central Business District,492178,5458621.73,49.28030003,-123.1075467
Theft from Vehicle,2008,9,13,0,1,W BROADWAY AVE / YUKON ST,Mount Pleasant,491786.42,5456719.02,49.26317969,-123.1128916
Break and Enter Residential/Other,2007,9,13,10,17,39XX SPRINGTREE DR,Arbutus Ridge,488803.1,5455367.19,49.25097239,-123.1538579
Break and Enter Residential/Other,2003,9,4,15,0,26XX E 28TH AVE,Renfrew-Collingwood,496322.41,5454739.19,49.24541479,-123.0505285
Theft from Vehicle,2003,8,22,0,30,13XX HOWE ST,Central Business District,490632.8,5458223.85,49.27669931,-123.1287827
Other Theft,2013,3,9,14,48,5XX W 8TH AVE,Fairview,491615.84,5456820.37,49.26408904,-123.1152382
Theft of Bicycle,2017,3,15,0,15,5XX ABBOTT ST,Central Business District,492179.01,5458664.65,49.28068612,-123.1075336
Break and Enter Residential/Other,2006,11,9,10,0,1XX N TEMPLETON DR,Grandview-Woodland,495653.3,5459228.46,49.28579226,-123.0597705
Mischief,2004,8,19,16,0,E 59TH AVE / ONTARIO ST,Sunset,492267.44,5451564.29,49.216818,-123.1061807
Theft from Vehicle,2012,11,1,0,0,11XX BURNABY ST,West End,490296.66,5458630.07,49.28034808,-123.1334139
Theft of Vehicle,2008,2,2,12,0,7XX JACKSON AVE,Strathcona,493200.26,5458411.18,49.27841833,-123.0934878
Theft of Vehicle,2016,10,5,21,30,17XX E GEORGIA ST,Grandview-Woodland,494952.87,5458410.61,49.27843018,-123.0693917
Theft from Vehicle,2014,1,11,0,0,CAROLINA ST / E 13TH AVE,Mount Pleasant,493371.17,5456232.35,49.25882123,-123.0911019
Theft from Vehicle,2016,6,3,18,0,3XX PRINCESS AVE,Strathcona,493355.61,5458818.77,49.28208638,-123.0913587
Theft from Vehicle,2012,8,1,9,45,E HASTINGS ST / SLOCAN ST,Hastings-Sunrise,496411.77,5458712.86,49.28115928,-123.0493364
Theft from Vehicle,2008,7,4,1,0,E 4TH AVE / SCOTIA ST,Mount Pleasant,492813.71,5457174.28,49.26728777,-123.0987802
Theft from Vehicle,2008,9,6,17,0,12XX BURNABY ST,West End,490180.91,5458745.2,49.28138184,-123.1350082
Mischief,2013,8,28,9,0,14XX VENABLES ST,Grandview-Woodland,494598.38,5458216.9,49.2766847,-123.0742628
Theft of Vehicle,2003,2,21,8,5,3XX E 13TH AVE,Mount Pleasant,492851.75,5456279.01,49.25923509,-123.0982413
Theft from Vehicle,2013,10,30,18,0,5XX SMITHE ST,Central Business District,491279.66,5458507.26,49.2792582,-123.1198957
Other Theft,2008,3,18,16,31,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39,49.26274759,-123.0971192
Theft from Vehicle,2014,2,8,12,0,27XX W BROADWAY AVE,Kitsilano,487881.06,5456818.58,49.26401033,-123.1665716
Other Theft,2008,8,27,20,45,7XX W GEORGIA ST,Central Business District,491401.32,5458865.33,49.28248082,-123.1182307
Theft from Vehicle,2004,12,9,19,45,51XX VICTORIA DR,Kensington-Cedar Cottage,495242.34,5453926.63,49.23809818,-123.0653585
Theft from Vehicle,2009,3,6,14,30,10XX E 59TH AVE,Sunset,493782.62,5451519.64,49.21643362,-123.0853742
Offence Against a Person,2003,5,16,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2007,2,14,21,0,OAK ST / W BROADWAY AVE,Fairview,490787,5456745,49.26339915,-123.1266287
Break and Enter Residential/Other,2006,8,1,17,44,2XX ABBOTT ST,Central Business District,492247.25,5458986.52,49.28358226,-123.1066016
Other Theft,2017,4,5,15,46,7XX ROBSON ST,Central Business District,491275.75,5458745.34,49.28139971,-123.1199546
Theft from Vehicle,2005,8,5,4,30,X NK_LOC ST,,492757.49,5458792.47,49.28184301,-123.0995822
Theft from Vehicle,2014,6,27,15,0,8XX SALSBURY DR,Grandview-Woodland,495023.32,5458248.57,49.27697318,-123.0684211
Break and Enter Residential/Other,2003,2,16,9,30,3XX ABBOTT ST,Central Business District,492230.72,5458888.5,49.28270034,-123.106827
Theft from Vehicle,2003,5,18,18,30,7XX HAMILTON ST,Central Business District,491596.58,5458496.55,49.2791663,-123.1155381
Offence Against a Person,2004,11,15,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2011,11,25,21,23,22XX W 7TH AVE,Kitsilano,488582.82,5456993.75,49.26559952,-123.1569311
Mischief,2016,9,10,19,0,PACIFIC ST / THURLOW ST,West End,490222.78,5458397.63,49.27825607,-123.134424
Theft of Vehicle,2003,6,14,0,1,22XX SE MARINE DR,Victoria-Fraserview,495574.72,5450560.44,49.20782091,-123.0607553
Other Theft,2012,11,1,17,50,20XX W BROADWAY AVE,Kitsilano,488897.49,5456790.22,49.26377453,-123.1526003
Mischief,2017,5,28,4,28,65XX ROSS ST,Sunset,493972.72,5452449.49,49.22479976,-123.0827778
