TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Theft from Vehicle,2007,1,14,16,0,6XX BURRARD ST,Central Business District,491279.21,5459177.42,49.28528639,-123.1199165
Theft from Vehicle,2010,2,4,17,5,X NK_LOC ST,,492757.49,5458792.47,49.28184301,-123.0995822
Mischief,2010,6,23,16,56,5XX E CORDOVA ST,Strathcona,493231.02,5458823.74,49.28212971,-123.0930719
Break and Enter Residential/Other,2004,11,12,0,1,1XX ALEXANDER ST,Central Business District,492714.6,5459037.73,49.28404865,-123.1001764
Break and Enter Residential/Other,2004,10,19,15,52,17XX E 2ND AVE,Grandview-Woodland,494971.16,5457323.92,49.26865536,-123.0691265
Break and Enter Residential/Other,2011,5,11,22,37,64XX EAST BLVD,Kerrisdale,488735.07,5452774.75,49.2276516,-123.1547198
Mischief,2010,12,29,11,17,24XX MAPLE ST,Kitsilano,489055.15,5456888.18,49.26465853,-123.150436
Theft from Vehicle,2016,1,24,21,0,38XX W 12TH AVE,West Point Grey,486134.45,5456574.89,49.2617812,-123.1905697
Break and Enter Residential/Other,2017,5,10,10,30,35XX ARBUTUS ST,Arbutus Ridge,488862.31,5455779.74,49.25468444,-123.1530557
Break and Enter Residential/Other,2005,2,16,13,25,40XX NOOTKA ST,Renfrew-Collingwood,496966.66,5455092.67,49.24859795,-123.0416795
Theft from Vehicle,2004,6,9,18,0,E 11TH AVE / QUEBEC ST,Mount Pleasant,492502.5,5456491.49,49.26114221,-123.1030452
Other Theft,2012,9,22,16,38,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95,49.28414268,-123.1170787
